,paperId,url,title,venue,year,referenceCount,citationCount,publicationTypes,journal,authors,doi,arxiv
0,7a5cf15caf5a2934aab5f3b796ab753f694e2287,https://www.semanticscholar.org/paper/7a5cf15caf5a2934aab5f3b796ab753f694e2287,User Perspectives and Ethical Experiences of Apps for Depression: A Qualitative Analysis of User Reviews,International Conference on Human Factors in Computing Systems,2022,148,10,"['JournalArticle', 'Book', 'Conference', 'Review']",{'name': 'Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems'},"[{'authorId': '2005618155', 'name': 'Dionne Bowie-DaBreo'}, {'authorId': '2175489', 'name': 'C. Sas'}, {'authorId': '1403183042', 'name': 'H. Iles-Smith'}, {'authorId': '1402096906', 'name': 'S. Sünram-Lea'}]",10.1145/3491102.3517498,
1,81d67db0b9ea48c810222ea09fb1ffcaac57b968,https://www.semanticscholar.org/paper/81d67db0b9ea48c810222ea09fb1ffcaac57b968,User Reviews as a Reporting Mechanism for Emergent Issues Within Social VR Communities,International Conference on Mobile and Ubiquitous Multimedia,2023,64,1,"['Book', 'JournalArticle', 'Review']",{'name': 'Proceedings of the 22nd International Conference on Mobile and Ubiquitous Multimedia'},"[{'authorId': '1720742133', 'name': 'Joseph O’Hagan'}, {'authorId': '2256514863', 'name': 'Florian Mathis'}, {'authorId': '144699726', 'name': 'Mark Mcgill'}]",10.1145/3626705.3627780,
2,bc5f294a631a49bfbf6a1a29f708387f591d0b8b,https://www.semanticscholar.org/paper/bc5f294a631a49bfbf6a1a29f708387f591d0b8b,AUTOREB: Automatically Understanding the Review-to-Behavior Fidelity in Android Applications,Conference on Computer and Communications Security,2015,50,65,"['Book', 'JournalArticle', 'Conference', 'Review']",{'name': 'Proceedings of the 22nd ACM SIGSAC Conference on Computer and Communications Security'},"[{'authorId': '37583154', 'name': 'Deguang Kong'}, {'authorId': '33503621', 'name': 'Lei Cen'}, {'authorId': '1705713', 'name': 'Hongxia Jin'}]",10.1145/2810103.2813689,
3,0b540a75ffba0104af8e218d15b783cc0c187538,https://www.semanticscholar.org/paper/0b540a75ffba0104af8e218d15b783cc0c187538,Unsupervised Summarization of Privacy Concerns in Mobile Application Reviews,International Conference on Automated Software Engineering,2022,76,7,"['JournalArticle', 'Book', 'Conference', 'Review']",{'name': 'Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering'},"[{'authorId': '144559677', 'name': 'Fahimeh Ebrahimi'}, {'authorId': '144301139', 'name': 'Anas Mahmoud'}]",10.1145/3551349.3561155,
4,e0623e1b91c85cbf4b03fcd705dc8ae9f9881b62,https://www.semanticscholar.org/paper/e0623e1b91c85cbf4b03fcd705dc8ae9f9881b62,Narratives: the Unforeseen Influencer of Privacy Concerns,IEEE International Requirements Engineering Conference,2022,65,8,"['JournalArticle', 'Conference']","{'name': '2022 IEEE 30th International Requirements Engineering Conference (RE)', 'pages': '127-139'}","[{'authorId': '2109963059', 'name': 'Ze Shi Li'}, {'authorId': '2158994861', 'name': 'Manish Sihag'}, {'authorId': '1415145525', 'name': 'Nowshin Nawar Arony'}, {'authorId': '2170072702', 'name': 'Joao Bezerra Junior'}, {'authorId': '2140146027', 'name': 'T. Phan'}, {'authorId': '1755165', 'name': 'Neil A. Ernst'}, {'authorId': '51171189', 'name': 'D. Damian'}]",10.1109/RE54965.2022.00018,
5,ae46a377177a7c96ef4ad8671aaa82fd1d26ac40,https://www.semanticscholar.org/paper/ae46a377177a7c96ef4ad8671aaa82fd1d26ac40,"""For an App Supposed to Make Its Users Feel Better, It Sure is a Joke"" - An Analysis of User Reviews of Mobile Mental Health Applications",Proc. ACM Hum. Comput. Interact.,2022,124,11,"['JournalArticle', 'Review']","{'name': 'Proceedings of the ACM on Human-Computer Interaction', 'pages': '1 - 29', 'volume': '6'}","[{'authorId': '29880521', 'name': 'Md. Romael Haque'}, {'authorId': '3280675', 'name': 'Sabirat Rubya'}]",10.1145/3555146,
6,fbff358ce2cec8a3db83236cc9b7c2f80ef9a844,https://www.semanticscholar.org/paper/fbff358ce2cec8a3db83236cc9b7c2f80ef9a844,"Assessing Security, Privacy, User Interaction, and Accessibility Features in Popular E-Payment Applications",European Symposium on Usable Security,2023,75,1,"['JournalArticle', 'Book', 'Review']",{'name': 'Proceedings of the 2023 European Symposium on Usable Security'},"[{'authorId': '2189443260', 'name': 'Urvashi Kishnani'}, {'authorId': '2118934642', 'name': 'Naheem Noah'}, {'authorId': '2253887341', 'name': 'Sanchari Das'}, {'authorId': '2210903', 'name': 'Rinku Dewri'}]",10.1145/3617072.3617102,
7,d75eae91b9801fbd6a72d9cfc31d581e896f7963,https://www.semanticscholar.org/paper/d75eae91b9801fbd6a72d9cfc31d581e896f7963,Human Values Violations in Stack Overflow: An Exploratory Study,International Conference on Evaluation & Assessment in Software Engineering,2022,53,3,"['Book', 'JournalArticle']",{'name': 'Proceedings of the 26th International Conference on Evaluation and Assessment in Software Engineering'},"[{'authorId': '2159549435', 'name': 'Sara Krishtul'}, {'authorId': '32723366', 'name': 'Mojtaba Shahin'}, {'authorId': '29001703', 'name': 'Humphrey O. Obie'}, {'authorId': '8772629', 'name': 'Hourieh Khalajzadeh'}, {'authorId': '2987355', 'name': 'Fangyu Gai'}, {'authorId': '97623802', 'name': 'A. R. Nasab'}, {'authorId': '2048054383', 'name': 'John C. Grundy'}]",10.1145/3530019.3530027,
8,00539059295e716d794a23e87312bf645fbcb1b4,https://www.semanticscholar.org/paper/00539059295e716d794a23e87312bf645fbcb1b4,Digital Discrimination in Sharing Economy A Requirements Engineering Perspective,IEEE International Requirements Engineering Conference,2020,63,6,"['JournalArticle', 'Conference']","{'name': '2020 IEEE 28th International Requirements Engineering Conference (RE)', 'pages': '204-214'}","[{'authorId': '29832358', 'name': 'Miroslav Tushev'}, {'authorId': '144559677', 'name': 'Fahimeh Ebrahimi'}, {'authorId': '144301139', 'name': 'Anas Mahmoud'}]",10.1109/RE48521.2020.00031,
9,8530be01e09852ecfbfd1ea247d95d2da3b5d91e,https://www.semanticscholar.org/paper/8530be01e09852ecfbfd1ea247d95d2da3b5d91e,"""Money Doesn't Buy You Happiness"": Negative Consequences of Using the Freemium Model for Mental Health Apps",Proc. ACM Hum. Comput. Interact.,2022,144,2,"['JournalArticle', 'Review']","{'name': 'Proceedings of the ACM on Human-Computer Interaction', 'pages': '1 - 38', 'volume': '6'}","[{'authorId': '2075565347', 'name': 'Tessa Eagle'}, {'authorId': '2190503135', 'name': 'Aman Mehrotra'}, {'authorId': '2109261277', 'name': 'Aayush Sharma'}, {'authorId': '2190503677', 'name': 'Alex Zuniga'}, {'authorId': '143965889', 'name': 'S. Whittaker'}]",10.1145/3555155,
10,a44f82e51e998cfa1caf760eef281c3da40b69eb,https://www.semanticscholar.org/paper/a44f82e51e998cfa1caf760eef281c3da40b69eb,Racism Detection by Analyzing Differential Opinions Through Sentiment Analysis of Tweets using Stacked Ensemble GCR-NN Model,IEEE Access,2022,53,27,['JournalArticle'],"{'name': 'IEEE Access', 'pages': '1-1', 'volume': 'PP'}","[{'authorId': '2149210109', 'name': 'Ernesto Lee'}, {'authorId': '1430656665', 'name': 'F. Rustam'}, {'authorId': '120432372', 'name': 'P. Washington'}, {'authorId': '150098955', 'name': 'F. E. Barakaz'}, {'authorId': '71953310', 'name': 'Wajdi Aljedaani'}, {'authorId': '2007377902', 'name': 'I. Ashraf'}]",10.1109/ACCESS.2022.3144266,
11,1a7d5b8a6932cd0a1f5d3d4ca7d130c5b633b8c9,https://www.semanticscholar.org/paper/1a7d5b8a6932cd0a1f5d3d4ca7d130c5b633b8c9,Supporting Developers in Addressing Human-Centric Issues in Mobile Apps,IEEE Transactions on Software Engineering,2022,85,10,"['JournalArticle', 'Review']","{'name': 'IEEE Transactions on Software Engineering', 'pages': '2149-2168', 'volume': '49'}","[{'authorId': '8772629', 'name': 'Hourieh Khalajzadeh'}, {'authorId': '32723366', 'name': 'Mojtaba Shahin'}, {'authorId': '29001703', 'name': 'Humphrey O. Obie'}, {'authorId': '2735854', 'name': 'Pragya Agrawal'}, {'authorId': '2048054383', 'name': 'John C. Grundy'}]",10.1109/TSE.2022.3212329,
12,615358d389479968885a142ff974e46d7a5813b9,https://www.semanticscholar.org/paper/615358d389479968885a142ff974e46d7a5813b9,Top concerns of user experiences in Metaverse games: A text-mining based approach,Entertainment Computing,2023,69,3,['JournalArticle'],"{'name': 'Entertain. Comput.', 'pages': '100576', 'volume': '46'}","[{'authorId': '2191472264', 'name': 'Büşra Alma Çallı'}, {'authorId': '98366977', 'name': 'Çağla Ediz'}]",10.1016/j.entcom.2023.100576,
13,230fb32e7371752749216443522db08ee5a95f65,https://www.semanticscholar.org/paper/230fb32e7371752749216443522db08ee5a95f65,Exploring User Perspectives of and Ethical Experiences With Teletherapy Apps: Qualitative Analysis of User Reviews,JMIR Mental Health,2023,48,1,"['JournalArticle', 'Review']","{'name': 'JMIR Mental Health', 'volume': '10'}","[{'authorId': '2035234201', 'name': 'Eunkyung Jo'}, {'authorId': '2231428719', 'name': 'Whitney-Jocelyn Kouaho'}, {'authorId': '38803352', 'name': 'S. Schueller'}, {'authorId': '1897362', 'name': 'Daniel A. Epstein'}]",10.2196/49684,
14,8fd69cd00497592137fce25ebdcda3b4157b87de,https://www.semanticscholar.org/paper/8fd69cd00497592137fce25ebdcda3b4157b87de,A large scale analysis of mHealth app user reviews,Empirical Software Engineering,2022,68,14,"['JournalArticle', 'Review']","{'name': 'Empirical Software Engineering', 'volume': '27'}","[{'authorId': '2277645', 'name': 'O. Haggag'}, {'authorId': '2054375167', 'name': 'John C. Grundy'}, {'authorId': '47505933', 'name': 'Mohamed Abdelrazek'}, {'authorId': '3174160', 'name': 'Sherif Haggag'}]",10.1007/s10664-022-10222-6,
15,89fcc3199ea70e16469eb5f2ea3beaecafc79a41,https://www.semanticscholar.org/paper/89fcc3199ea70e16469eb5f2ea3beaecafc79a41,"Short Text, Large Effect: Measuring the Impact of User Reviews on Android App Security & Privacy",IEEE Symposium on Security and Privacy,2019,68,44,"['JournalArticle', 'Review']","{'name': '2019 IEEE Symposium on Security and Privacy (SP)', 'pages': '555-569'}","[{'authorId': '40655437', 'name': 'Duc Cuong Nguyen'}, {'authorId': '3409894', 'name': 'Erik Derr'}, {'authorId': '144588806', 'name': 'M. Backes'}, {'authorId': '2214494', 'name': 'Sven Bugiel'}]",10.1109/SP.2019.00012,
16,01743cca01a8783b31c9afa37d50c7f853ff329e,https://www.semanticscholar.org/paper/01743cca01a8783b31c9afa37d50c7f853ff329e,Prevalence and Salience of Problematic Microtransactions in Top-Grossing Mobile and PC Games: A Content Analysis of User Reviews,International Conference on Human Factors in Computing Systems,2022,62,15,"['JournalArticle', 'Book', 'Conference', 'Review']",{'name': 'Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems'},"[{'authorId': '11245546', 'name': 'E. Petrovskaya'}, {'authorId': '2127156', 'name': 'Sebastian Deterding'}, {'authorId': '2134290', 'name': 'D. Zendle'}]",10.1145/3491102.3502056,
17,9b40953cdbe661c45c2c9e7acdb839699eafeb0e,https://www.semanticscholar.org/paper/9b40953cdbe661c45c2c9e7acdb839699eafeb0e,Identifying Users' Concerns in Lodging Sharing Economy Using Unsupervised Machine Learning Approach,International Conference on Data Intelligence and Security,2019,21,1,"['JournalArticle', 'Conference']","{'name': '2019 2nd International Conference on Data Intelligence and Security (ICDIS)', 'pages': '160-166'}","[{'authorId': '70162761', 'name': 'M. Al-Ramahi'}, {'authorId': '2130353301', 'name': 'Ali Ahmed'}]",10.1109/ICDIS.2019.00031,
18,fc5b7c21af4ab28fcb297b1b7ae69cdc78c40171,https://www.semanticscholar.org/paper/fc5b7c21af4ab28fcb297b1b7ae69cdc78c40171,Analyzing User Perspectives on Mobile App Privacy at Scale,International Conference on Software Engineering,2022,89,20,"['JournalArticle', 'Book', 'Conference', 'Review']","{'name': '2022 IEEE/ACM 44th International Conference on Software Engineering (ICSE)', 'pages': '112-124'}","[{'authorId': '9192775', 'name': 'Preksha Nema'}, {'authorId': '2268251', 'name': 'Pauline Anthonysamy'}, {'authorId': '2703784', 'name': 'N. Taft'}, {'authorId': '2172117695', 'name': 'Sai Teia Peddinti'}]",10.1145/3510003.3510079,
19,8b2856e5e694ac722fe40a390d575ec33af6afe7,https://www.semanticscholar.org/paper/8b2856e5e694ac722fe40a390d575ec33af6afe7,Analyzing Accessibility Reviews Associated with Visual Disabilities or Eye Conditions,International Conference on Human Factors in Computing Systems,2023,53,3,"['JournalArticle', 'Book', 'Conference', 'Review']",{'name': 'Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems'},"[{'authorId': '50016726', 'name': 'Alberto Dumont Alves Oliveira'}, {'authorId': '2214743257', 'name': 'Paulo Sérgio Henrique Dos Santos'}, {'authorId': '2214744807', 'name': 'W. E. Marcílio Júnior'}, {'authorId': '71953310', 'name': 'Wajdi Aljedaani'}, {'authorId': '143883122', 'name': 'D. M. Eler'}, {'authorId': '1797547', 'name': 'M. Eler'}]",10.1145/3544548.3581315,
20,277a7623fac682ac90adc5ab8bf8afa62dddd288,https://www.semanticscholar.org/paper/277a7623fac682ac90adc5ab8bf8afa62dddd288,ARM: ANN-based ranking model for privacy and security analysis in smartphone ecosystems,International Carnahan Conference on Security Technology,2017,16,2,"['JournalArticle', 'Conference']","{'name': '2017 International Carnahan Conference on Security Technology (ICCST)', 'pages': '1-6'}","[{'authorId': '2924482', 'name': 'M. Hatamian'}, {'authorId': '41126659', 'name': 'Jetzabel M. Serna'}]",10.1109/CCST.2017.8167854,
21,db6fa94123f2c788a5cdb1c41700d56fb2b08101,https://www.semanticscholar.org/paper/db6fa94123f2c788a5cdb1c41700d56fb2b08101,Revealing the unrevealed: Mining smartphone users privacy perception on app markets,Computers & security,2019,56,42,"['JournalArticle', 'Review']","{'name': 'Comput. Secur.', 'pages': '332-353', 'volume': '83'}","[{'authorId': '2924482', 'name': 'M. Hatamian'}, {'authorId': '41126659', 'name': 'Jetzabel M. Serna'}, {'authorId': '1931672', 'name': 'Kai Rannenberg'}]",10.1016/j.cose.2019.02.010,
22,e418c5d4464ffe15633c258e61509f6c97226f82,https://www.semanticscholar.org/paper/e418c5d4464ffe15633c258e61509f6c97226f82,Privacy and Security Evaluation of Mobile Payment Applications Through User-Generated Reviews,WPES@CCS,2022,70,2,"['Book', 'JournalArticle', 'Review']",{'name': 'Proceedings of the 21st Workshop on Privacy in the Electronic Society'},"[{'authorId': '2189443260', 'name': 'Urvashi Kishnani'}, {'authorId': '2118934642', 'name': 'Naheem Noah'}, {'authorId': '1409913903', 'name': 'Sanchari Das'}, {'authorId': '2210903', 'name': 'Rinku Dewri'}]",10.1145/3559613.3563196,
